Name,Price,Market cap,Volume (24),Supply
1inch1INCH,0.28,287.4M,20.4M,1.0B
APENFTNFT,0.00000033,331.2M,23.0M,990.1T
Aave CRV V2aCRVv2,0.45,402.6M,32.1M,898.8M
Aave ENS V2aENSv2,7.20,216.4M,12.8M,30.1M
Aave MKR V2aMKRv2,"1,237.48",1.2B,48.6M,977.6K
Aave SNX V2aSNXv2,2.10,574.5M,37.4M,273.3M
Aave UNI V2aUNIv2,3.91,2.3B,114.7M,588.2M
AaveAAVE,77.42,1.1B,94.4M,14.6M
Akash NetworkAKT,0.96,212.6M,3.3M,220.8M
AlgorandALGO,0.10,814.4M,39.5M,7.9B
AnkrANKR,0.0224,225.1M,33.4M,10.0B
ApeCoinAPE,1.25,459.1M,67.9M,368.6M
AptosAPT,6.50,1.6B,142.9M,247.6M
ArbitrumARB,0.89,1.1B,292.0M,1.3B
ArweaveAR,5.60,366.3M,21.9M,65.5M
AstarASTR,0.0516,275.8M,17.7M,5.3B
AvalancheAVAX,10.61,3.8B,210.6M,355.1M
Axie InfinityAXS,4.98,705.3M,58.5M,141.8M
BNBBNB,214.22,32.5B,294.3M,151.7M
Basic Attention TokenBAT,0.20,293.5M,17.9M,1.5B
Binance USDBUSD,0.95,1.9B,369.6M,2.0B
BitTorrent(New)BTT,0.00000043,411.9M,32.9M,951.4T
Bitcoin CashBCH,229.37,4.5B,162.9M,19.5M
Bitcoin GoldBTG,13.61,238.2M,12.9M,17.5M
Bitcoin SVBSV,45.00,866.3M,51.1M,19.3M
BitcoinBTC,"33,074.63",645.0B,14.1B,19.5M
Bitget TokenBGB,0.47,651.3M,17.1M,1.4B
BlurBLUR,0.22,232.5M,37.7M,1.0B
CardanoADA,0.28,9.8B,278.0M,35.2B
CasperCSPR,0.0325,371.7M,3.8M,11.4B
CelestiaTIA,2.20,310.0M,424.8M,141.0M
CeloCGLD,0.45,236.7M,12.6M,518.4M
ChainlinkLINK,10.48,5.8B,495.0M,556.8M
ChiaXCH,25.50,227.2M,24.5M,8.9M
ChilizCHZ,0.0627,472.6M,74.9M,7.6B
CompoundCOMP,42.65,337.8M,39.9M,7.9M
ConfluxCFX,0.15,520.6M,99.7M,3.4B
Convex FinanceCVX,2.67,216.7M,7.3M,81.5M
CosmosATOM,7.38,2.7B,187.6M,372.4M
Crypto.com CoinCRO,0.0590,1.5B,6.2M,25.3B
Curve DAO TokenCRV,0.45,402.9M,32.1M,898.8M
DaiDAI,0.95,5.1B,122.8M,5.3B
DashDASH,27.44,315.0M,46.2M,11.5M
DecentralandMANA,0.34,641.2M,60.8M,1.9B
DogecoinDOGE,0.0640,9.1B,418.5M,141.7B
EOSEOS,0.59,655.5M,133.9M,1.1B
Enjin CoinENJ,0.24,244.0M,23.4M,1.0B
Ethereum ClassicETC,16.64,2.4B,246.8M,143.8M
Ethereum Name ServiceENS,7.12,216.4M,12.8M,30.1M
EthereumETH,"1,724.99",207.0B,6.6B,120.3M
FLAREFLR,0.0096,259.5M,8.1M,27.0B
FLOKIFLOKI,0.000030,287.0M,59.1M,9.5T
FantomFTM,0.22,619.6M,70.7M,2.8B
Fetch.aiFET,0.33,269.1M,69.1M,812.4M
FilecoinFIL,3.54,1.6B,86.1M,462.1M
First Digital USDFDUSD,0.95,559.2M,1.5B,589.6M
FlowFLOW,0.49,504.6M,37.3M,1.0B
Frax ShareFXS,5.44,407.4M,19.4M,74.9M
GMXGMX,42.46,388.9M,12.6M,9.2M
Gala V1GALA,0.0176,447.7M,113.0M,25.4B
GateTokenGT,3.63,344.9M,1.4M,94.9M
GnosisGNO,101.36,262.2M,5.0M,2.6M
Golem (Old)GNT,0.21,205.3M,5.9M,1.0B
GolemGLM,0.20,205.2M,5.9M,1.0B
HederaHBAR,0.0485,1.6B,57.7M,33.5B
HeliumHNT,1.41,202.9M,1.5M,143.9M
HoloHOT,0.0013,225.3M,14.8M,172.3B
Huobi TokenHT,2.32,375.8M,5.2M,162.2M
ICONICX,0.21,200.6M,10.9M,970.9M
IOTAIOTA,0.15,440.9M,13.7M,3.0B
ImmutableIMX,0.60,730.3M,28.2M,1.2B
InjectiveINJ,13.28,1.1B,90.5M,83.8M
Internet ComputerICP,3.63,1.6B,26.6M,447.7M
IoTeXIOTX,0.0209,197.3M,10.9M,9.4B
JUSTJST,0.0344,307.3M,117.7M,8.9B
KavaKAVA,0.63,560.2M,25.8M,892.6M
KlaytnKLAY,0.12,400.9M,13.6M,3.2B
KuCoin TokenKCS,4.35,420.5M,896.3K,96.7M
Lido DAO TokenLDO,1.70,1.5B,70.8M,890.2M
LitecoinLTC,65.01,4.8B,280.4M,73.8M
LoopringLRC,0.19,252.5M,16.3M,1.3B
MX TOKENMX,2.66,267.7M,3.0M,100.6M
MakerMKR,"1,236.30",1.2B,48.8M,977.6K
MantleMNT,0.36,1.1B,52.1M,3.1B
Mask NetworkMASK,2.73,224.5M,57.9M,82.1M
MinaMINA,0.54,539.6M,44.1M,994.4M
MoneroXMR,162.81,3.0B,77.3M,18.4M
MultiversXEGLD,28.83,751.2M,19.7M,26.1M
NEAR ProtocolNEAR,1.29,1.3B,91.6M,990.2M
NEMXEM,0.0297,267.6M,11.5M,9.0B
NeoNEO,8.92,630.0M,67.6M,70.5M
NexoNEXO,0.61,340.4M,2.1M,560.0M
OKBOKB,42.68,2.6B,2.4M,60.0M
Oasis NetworkROSE,0.0487,316.3M,13.4M,6.5B
Ocean ProtocolOCEAN,0.35,200.5M,33.2M,568.4M
OptimismOP,1.29,1.1B,120.0M,880.4M
PAX GoldPAXG,"1,856.51",453.1M,6.8M,243.8K
PancakeSwapCAKE,1.17,263.8M,13.0M,226.4M
Paxos StandardPAX,0.95,415.0M,2.1M,438.8M
PepePEPE,0.00000107,444.7M,104.7M,417.1T
PolkadotDOT,4.18,5.2B,151.6M,1.2B
PolygonMATIC,0.60,5.6B,245.5M,9.2B
ProtocolZRX,0.25,214.1M,65.3M,847.5M
QtumQTUM,3.02,316.0M,59.8M,104.8M
QuantQNT,96.44,1.2B,14.4M,12.1M
RavencoinRVN,0.0161,212.0M,11.2M,13.1B
RenderRNDR,2.17,808.1M,79.7M,371.9M
Rocket PoolRPL,22.02,436.1M,3.1M,19.8M
SHIBA INUSHIB,0.00000731,4.3B,132.3M,589.3T
STEPNGMT,0.18,226.3M,46.1M,1.3B
SafePalSFP,0.65,274.3M,8.0M,420.8M
SingularityNETAGIX,0.21,264.3M,31.0M,1.2B
SolanaSOL,37.69,15.7B,1.6B,419.4M
StacksSTX,0.59,834.4M,37.7M,1.4B
StatusSNT,0.0526,203.7M,626.0M,3.9B
Stellar LumensXLM,0.12,3.2B,115.5M,27.9B
Synthetix Network TokenSNX,2.10,573.5M,37.4M,273.3M
THORChainRUNE,2.82,954.6M,151.4M,338.8M
TRONTRX,0.0950,8.4B,277.8M,88.8B
TellorTRB,106.47,264.8M,52.7M,2.5M
TerraLUNA,0.000059,344.5M,20.3M,5.8T
Tether GoldXAUt,"1,886.37",465.0M,4.7M,246.5K
TetherUSDT,0.95,80.5B,27.0B,84.8B
TezosXTZ,0.71,675.1M,19.8M,958.1M
The GraphGRT,0.0994,921.1M,56.0M,9.3B
The SandboxSAND,0.32,665.3M,84.2M,2.1B
Theta FuelTFUEL,0.0383,242.5M,25.6M,6.3B
Theta NetworkTHETA,0.71,708.7M,98.9M,1.0B
ThresholdT,0.0230,214.8M,120.6M,9.3B
ToncoinTON,2.07,7.1B,70.3M,3.4B
TrueUSDTUSD,0.95,3.2B,205.4M,3.3B
Trust Wallet TokenTWT,1.00,415.0M,15.2M,416.6M
UNUS SED LEOLEO,3.76,3.5B,601.9K,928.7M
USDCUSDC,0.95,23.5B,3.2B,24.7B
USDDUSDD,0.95,686.5M,17.8M,725.3M
UniswapUNI,3.91,2.3B,114.7M,588.2M
WAXWAXP,0.0572,193.0M,53.1M,3.4B
WOO NetworkWOO,0.20,356.8M,14.4M,1.8B
WorldcoinWLD,1.82,202.5M,107.9M,111.2M
Wrapped BitcoinWBTC,"32,975.19",5.4B,121.5M,163.8K
XDC NetworkXDC,0.0486,674.2M,7.3M,13.9B
XRPXRP,0.58,30.8B,1.6B,53.6B
ZcashZEC,26.20,428.2M,51.8M,16.3M
ZilliqaZIL,0.0187,324.7M,38.1M,17.4B
aelfELF,0.34,232.1M,6.3M,682.6M
dYdXDYDX,2.17,399.0M,88.3M,183.8M
eCashXEC,0.000026,511.5M,13.5M,19.5T
vechainVET,0.0175,1.3B,38.8M,72.7B
